file,label,auc,n_pos,n_neg
calibration_long-img-svs,OLK,0.9194964871194379,28,122
calibration_long-img-svs,OLP,0.9897084048027445,44,106
calibration_long-img-svs,OSCC,0.9952000000000001,25,125
calibration_long-img-svs,OSF,0.8168737737083062,11,139
calibration_long-img-svs,乳头状瘤,0.9243498817966903,9,141
calibration_long-img-svs,粘液囊肿,0.9971199999999999,25,125
calibration_long-img-svs,纤维增生,0.9906172839506173,15,135
calibration_long-img,OLK,0.7681498829039813,28,122
calibration_long-img,OLP,0.7260934819897084,44,106
calibration_long-img,OSCC,0.83152,25,125
calibration_long-img,OSF,0.7995421844342707,11,139
calibration_long-img,乳头状瘤,0.5220646178092987,9,141
calibration_long-img,粘液囊肿,0.79488,25,125
calibration_long-img,纤维增生,0.7192592592592593,15,135
calibration_long-svs,OLK,0.9086651053864169,28,122
calibration_long-svs,OLP,0.9886363636363636,44,106
calibration_long-svs,OSCC,0.984,25,125
calibration_long-svs,OSF,0.8122956180510137,11,139
calibration_long-svs,乳头状瘤,0.9243498817966903,9,141
calibration_long-svs,粘液囊肿,0.996,25,125
calibration_long-svs,纤维增生,0.9822222222222222,15,135
calibration_long-txt-img-svs,OLK,0.9871194379391101,28,122
calibration_long-txt-img-svs,OLP,0.9965694682675814,44,106
calibration_long-txt-img-svs,OSCC,0.9990399999999999,25,125
calibration_long-txt-img-svs,OSF,0.9836494440810988,11,139
calibration_long-txt-img-svs,乳头状瘤,1.0,9,141
calibration_long-txt-img-svs,粘液囊肿,0.9996799999999999,25,125
calibration_long-txt-img-svs,纤维增生,0.9985185185185185,15,135
calibration_long-txt-img,OLK,0.9584309133489461,28,122
calibration_long-txt-img,OLP,0.9843481989708406,44,106
calibration_long-txt-img,OSCC,0.9808,25,125
calibration_long-txt-img,OSF,0.9921517331589274,11,139
calibration_long-txt-img,乳头状瘤,0.9897557131599685,9,141
calibration_long-txt-img,粘液囊肿,0.99872,25,125
calibration_long-txt-img,纤维增生,0.980246913580247,15,135
calibration_long-txt-only,OLK,0.9159836065573771,28,122
calibration_long-txt-only,OLP,0.9631217838765009,44,106
calibration_long-txt-only,OSCC,0.95616,25,125
calibration_long-txt-only,OSF,0.9797253106605625,11,139
calibration_long-txt-only,乳头状瘤,0.9984239558707644,9,141
calibration_long-txt-only,粘液囊肿,0.9976,25,125
calibration_long-txt-only,纤维增生,0.9604938271604938,15,135
calibration_long-txt-svs,OLK,0.9850702576112412,28,122
calibration_long-txt-svs,OLP,0.9948542024013722,44,106
calibration_long-txt-svs,OSCC,0.99104,25,125
calibration_long-txt-svs,OSF,0.9810333551340745,11,139
calibration_long-txt-svs,乳头状瘤,1.0,9,141
calibration_long-txt-svs,粘液囊肿,1.0,25,125
calibration_long-txt-svs,纤维增生,0.9985185185185186,15,135
calibration_long-txt,OLK,0.950526932084309,28,122
calibration_long-txt,OLP,0.9832761578044596,44,106
calibration_long-txt,OSCC,0.94976,25,125
calibration_long-txt,OSF,0.9901896664486594,11,139
calibration_long-txt,乳头状瘤,0.9913317572892041,9,141
calibration_long-txt,粘液囊肿,0.99872,25,125
calibration_long-txt,纤维增生,0.9804938271604938,15,135
